country,iso2,iso3,region,wb_econ,minage_fem_leg,minage_fem_pc,minage_fem_crlaw,minage_fem_any,protect_girl_13,protect_girl_15,protect_girl_17,except_crlaw,except_pc,except_preg,minage_mal_leg,minage_mal_pc,minage_mal_crlaw,minage_mal_any,protect_boy_13,protect_boy_15,protect_boy_17,legal_diff_leg,legal_diff_pc,minage_fem_loop,minage_mal_loop,loop_summ,minage_par_18_f_1995,minage_par_18_f_1996,minage_par_18_f_1997,minage_par_18_f_1998,minage_par_18_f_1999,minage_par_18_f_2000,minage_par_18_f_2001,minage_par_18_f_2002,minage_par_18_f_2003,minage_par_18_f_2004,minage_par_18_f_2005,minage_par_18_f_2006,minage_par_18_f_2007,minage_par_18_f_2008,minage_par_18_f_2009,minage_par_18_f_2010,minage_par_18_f_2011,minage_par_18_f_2012,minage_par_18_f_2013,minage_par_18_f_2014,minage_par_18_f_2015,minage_par_18_f_2016,minage_par_18_f_2017,minage_par_18_f_2018,minage_par_18_f_2019,minage_par_18_f_2020,minage_par_18_f_2021,minage_par_18_f_2022,minage_par_18_f_2023,minage_par_18_m_1995,minage_par_18_m_1996,minage_par_18_m_1997,minage_par_18_m_1998,minage_par_18_m_1999,minage_par_18_m_2000,minage_par_18_m_2001,minage_par_18_m_2002,minage_par_18_m_2003,minage_par_18_m_2004,minage_par_18_m_2005,minage_par_18_m_2006,minage_par_18_m_2007,minage_par_18_m_2008,minage_par_18_m_2009,minage_par_18_m_2010,minage_par_18_m_2011,minage_par_18_m_2012,minage_par_18_m_2013,minage_par_18_m_2014,minage_par_18_m_2015,minage_par_18_m_2016,minage_par_18_m_2017,minage_par_18_m_2018,minage_par_18_m_2019,minage_par_18_m_2020,minage_par_18_m_2021,minage_par_18_m_2022,minage_par_18_m_2023
Sao Tome and Principe,ST,STP,Sub-Saharan Africa,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Saudi Arabia,SA,SAU,Middle East & North Africa,4,5,5,1,1,2,2,2,2,3,5,5,5,1,1,2,2,2,5,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,SN,SEN,Sub-Saharan Africa,2,5,3,5,1,3,3,2,5,2,5,5,5,5,1,3,3,3,5,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Serbia,RS,SRB,Europe & Central Asia,2,5,5,5,3,5,5,3,5,5,2,5,5,5,3,5,5,3,5,5,5,5,5,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Seychelles,SC,SYC,Sub-Saharan Africa,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SL,SLE,Sub-Saharan Africa,1,5,5,1,1,2,2,2,2,5,5,5,5,1,1,2,2,2,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Singapore,SG,SGP,East Asia & Pacific,4,5,5,1,1,2,2,2,2,3,5,5,5,5,1,3,3,3,5,5,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,SK,SVK,Europe & Central Asia,4,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,SI,SVN,Europe & Central Asia,4,5,5,5,2,5,3,3,5,5,5,5,5,5,2,5,3,3,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SB,SLB,East Asia & Pacific,2,5,2,9,9,2,2,2,2,2,5,5,2,9,9,2,2,2,5,5,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SO,SOM,Sub-Saharan Africa,1,5,3,5,1,3,3,2,5,2,5,5,5,5,1,3,3,3,5,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Africa,ZA,ZAF,Sub-Saharan Africa,2,5,2,1,1,2,2,2,2,2,5,5,5,1,1,2,2,2,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Sudan,SS,SSD,Sub-Saharan Africa,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
Spain,ES,ESP,Europe & Central Asia,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LK,LKA,South Asia,2,5,5,1,1,2,2,2,2,5,5,5,5,1,1,2,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
St. Kitts and Nevis,KN,KNA,Americas,4,5,3,5,2,5,3,2,5,2,5,5,3,5,2,5,3,2,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LC,LCA,Americas,2,5,3,5,3,5,5,2,5,2,5,5,3,5,3,5,5,2,5,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,VC,VCT,Americas,2,5,2,5,2,5,2,2,5,2,5,5,3,5,3,5,5,2,5,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,SD,SDN,Sub-Saharan Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,SR,SUR,Americas,2,5,2,1,1,2,2,2,2,2,5,5,3,2,1,3,2,2,5,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,SZ,SWZ,Sub-Saharan Africa,2,5,3,9,9,2,2,2,2,2,5,5,5,9,9,2,2,2,5,3,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sweden,SE,SWE,Europe & Central Asia,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CH,CHE,Europe & Central Asia,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,SY,SYR,Middle East & North Africa,1,5,5,9,9,2,2,2,2,3,5,5,5,9,9,2,2,2,5,5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tajikistan,TJ,TJK,Europe & Central Asia,2,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Tanzania,TZ,TZA,Sub-Saharan Africa,2,5,2,,,,2,2,5,2,5,5,5,,,,,,5,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thailand,TH,THA,East Asia & Pacific,2,5,3,1,1,2,2,2,2,2,5,5,3,1,1,2,2,2,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,TL,TLS,East Asia & Pacific,2,3,3,3,3,5,5,1,1,1,1,3,3,3,3,5,5,1,5,5,3,3,3,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,TG,TGO,Sub-Saharan Africa,1,5,5,5,3,5,5,3,5,3,5,5,5,5,3,5,5,3,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tonga,TO,TON,East Asia & Pacific,2,5,2,5,2,5,2,2,5,2,5,5,2,5,2,5,2,2,5,5,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TT,TTO,Americas,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Tunisia,TN,TUN,Middle East & North Africa,2,5,5,5,1,3,3,3,5,3,5,5,5,5,1,3,3,3,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Türkiye,TR,TUR,Europe & Central Asia,2,5,3,5,3,5,5,2,5,2,5,5,3,5,3,5,5,2,5,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,TM,TKM,Europe & Central Asia,2,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Tuvalu,TV,TUV,East Asia & Pacific,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UG,UGA,Sub-Saharan Africa,1,5,5,1,1,2,2,2,2,5,5,5,5,1,1,2,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ukraine,UA,UKR,Europe & Central Asia,2,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Arab Emirates,AE,ARE,Middle East & North Africa,4,5,5,1,1,2,2,2,2,3,5,5,5,1,1,2,2,2,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Kingdom,GB,GBR,Europe & Central Asia,4,3,3,3,3,5,5,1,1,1,1,3,3,3,3,5,5,1,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,US,USA,Americas,4,5,3,5,1,3,3,2,5,2,5,5,3,5,1,3,3,2,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,UY,URY,Americas,4,5,3,5,3,5,5,2,5,2,5,5,3,5,3,5,5,2,5,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,UZ,UZB,Europe & Central Asia,2,5,5,5,3,5,5,3,5,5,2,5,5,5,3,5,5,3,5,5,5,5,5,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vanuatu,VU,VUT,East Asia & Pacific,2,5,3,5,3,5,5,2,5,2,5,5,5,5,5,5,5,5,5,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Venezuela,VE,VEN,Americas,,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Vietnam,VN,VNM,East Asia & Pacific,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yemen,YE,YEM,Middle East & North Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZM,ZMB,Sub-Saharan Africa,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Zimbabwe,ZW,ZWE,Sub-Saharan Africa,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
