country,iso2,iso3,region,wb_econ,minage_fem_leg,minage_mal_leg,minage_fem_pc,minage_mal_pc,minage_fem_crlaw,minage_mal_crlaw,minage_fem_loop,minage_mal_loop,minage_fem_any,minage_mal_any,loop_summ,except_pc,except_preg,except_crlaw,protect_girl_13,protect_girl_15,protect_girl_17,protect_boy_13,protect_boy_15,protect_boy_17,legal_diff_leg,legal_diff_pc,minage_par_18_f_1995,minage_par_18_f_1996,minage_par_18_f_1997,minage_par_18_f_1998,minage_par_18_f_1999,minage_par_18_f_2000,minage_par_18_f_2001,minage_par_18_f_2002,minage_par_18_f_2003,minage_par_18_f_2004,minage_par_18_f_2005,minage_par_18_f_2006,minage_par_18_f_2007,minage_par_18_f_2008,minage_par_18_f_2009,minage_par_18_f_2010,minage_par_18_f_2011,minage_par_18_f_2012,minage_par_18_f_2013,minage_par_18_f_2014,minage_par_18_f_2015,minage_par_18_f_2016,minage_par_18_f_2017,minage_par_18_f_2018,minage_par_18_f_2019,minage_par_18_f_2020,minage_par_18_f_2021,minage_par_18_f_2022,minage_par_18_f_2023,minage_par_18_m_1995,minage_par_18_m_1996,minage_par_18_m_1997,minage_par_18_m_1998,minage_par_18_m_1999,minage_par_18_m_2000,minage_par_18_m_2001,minage_par_18_m_2002,minage_par_18_m_2003,minage_par_18_m_2004,minage_par_18_m_2005,minage_par_18_m_2006,minage_par_18_m_2007,minage_par_18_m_2008,minage_par_18_m_2009,minage_par_18_m_2010,minage_par_18_m_2011,minage_par_18_m_2012,minage_par_18_m_2013,minage_par_18_m_2014,minage_par_18_m_2015,minage_par_18_m_2016,minage_par_18_m_2017,minage_par_18_m_2018,minage_par_18_m_2019,minage_par_18_m_2020,minage_par_18_m_2021,minage_par_18_m_2022,minage_par_18_m_2023,wb_econ_label,loop_summ_label,minage_fem_loop_label,minage_mal_loop_label,protect_girl_13_label,protect_boy_13_label,protect_girl_15_label,protect_boy_15_label,protect_girl_17_label,protect_boy_17_label,legal_diff_leg_label,legal_diff_pc_label,has_loophole_fem,has_loophole_mal,gender_gap_loop,has_gender_gap
Solomon Islands,SB,SLB,East Asia & Pacific,2.0,5.0,5.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-income,Mungkin < 18 (diatur adat/agama),Tidak diketahui (adat/agama),Tidak diketahui (adat/agama),Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Tanpa perbedaan,False,False,,False
Somalia,SO,SOM,Sub-Saharan Africa,1.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,2,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Low-income,2 masalah: kesenjangan DAN usia 14-17,16-17 tahun,≥ 18 tahun,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Boleh dengan izin orang tua / hukum adat,Hanya dengan persetujuan pengadilan / kehamilan,Tanpa perbedaan,Perempuan 1-2 tahun lebih muda,True,False,2.0,True
South Africa,ZA,ZAF,Sub-Saharan Africa,2.0,5.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Middle-income,Bisa menikah ≤ 13 tahun,≤ 13 tahun,≤ 13 tahun,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Perempuan 3 tahun lebih muda,True,True,0.0,False
South Sudan,SS,SSD,Sub-Saharan Africa,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Low-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Spain,ES,ESP,Europe & Central Asia,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-income,Kesetaraan & usia ≥ 18 tahun,≥ 18 tahun,≥ 18 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Tanpa perbedaan,Tanpa perbedaan,False,False,0.0,False
Sri Lanka,LK,LKA,South Asia,2.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Middle-income,Bisa menikah ≤ 13 tahun,≤ 13 tahun,≤ 13 tahun,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Tanpa perbedaan,True,True,0.0,False
St. Kitts and Nevis,KN,KNA,Americas,4.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,2,5.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-income,1 masalah: kesenjangan ATAU usia 14-17,16-17 tahun,16-17 tahun,Dilarang secara hukum,Dilarang secara hukum,Hanya dengan persetujuan pengadilan / kehamilan,Hanya dengan persetujuan pengadilan / kehamilan,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Tanpa perbedaan,True,True,0.0,False
St. Lucia,LC,LCA,Americas,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle-income,1 masalah: kesenjangan ATAU usia 14-17,16-17 tahun,16-17 tahun,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Dilarang secara hukum,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Tanpa perbedaan,True,True,0.0,False
St. Vincent and the Grenadines,VC,VCT,Americas,2.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,2,5.0,5.0,5.0,2.0,2.0,5.0,5.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-income,2 masalah: kesenjangan DAN usia 14-17,14-15 tahun,16-17 tahun,Dilarang secara hukum,Dilarang secara hukum,Boleh dengan izin orang tua / hukum adat,Dilarang secara hukum,Boleh dengan izin orang tua / hukum adat,Boleh dengan izin orang tua / hukum adat,Tanpa perbedaan,Perempuan 1-2 tahun lebih muda,True,True,1.0,True
Sudan,SD,SDN,Sub-Saharan Africa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-income,Bisa menikah ≤ 13 tahun,≤ 13 tahun,≤ 13 tahun,Tanpa pembatasan,Tanpa pembatasan,Tanpa pembatasan,Tanpa pembatasan,Tanpa pembatasan,Tanpa pembatasan,Tanpa usia min. khusus perempuan,Tanpa usia min. khusus perempuan,False,False,0.0,False
